optimal_tour,optimal_tour_length,threshold_accepting_tour,threshold_accepting_tour_length,score,time
"{1, 2, 3, 5, 6, 8, 9, 4, 7, 10, 1}",2.464794,"{1, 10, 7, 4, 9, 8, 6, 5, 3, 2, 1}",2.464794,0.000000,0.032009
"{1, 10, 4, 6, 7, 9, 3, 8, 5, 2, 1}",3.057049,"{1, 2, 5, 8, 3, 9, 7, 6, 4, 10, 1}",3.057049,0.000000,0.032061
"{1, 8, 6, 9, 4, 3, 7, 5, 10, 2, 1}",2.997128,"{1, 2, 10, 5, 7, 3, 4, 9, 6, 8, 1}",2.997128,0.000000,0.031943
"{1, 9, 8, 6, 3, 5, 7, 4, 10, 2, 1}",3.520309,"{1, 9, 2, 10, 4, 7, 5, 3, 6, 8, 1}",3.515077,-0.001486,0.032041
"{1, 2, 9, 3, 5, 7, 8, 6, 10, 4, 1}",2.362028,"{1, 4, 10, 6, 8, 7, 5, 3, 9, 2, 1}",2.362028,0.000000,0.032051
"{1, 10, 4, 3, 8, 7, 6, 2, 9, 5, 1}",3.031621,"{1, 5, 9, 2, 6, 7, 8, 3, 4, 10, 1}",3.031621,0.000000,0.032281
"{1, 6, 10, 3, 7, 2, 9, 8, 4, 5, 1}",2.635353,"{1, 5, 4, 8, 9, 2, 7, 3, 10, 6, 1}",2.635353,0.000000,0.032146
"{1, 9, 8, 10, 7, 5, 4, 3, 2, 6, 1}",2.351739,"{1, 9, 8, 10, 7, 5, 4, 3, 2, 6, 1}",2.351739,0.000000,0.032048
"{1, 7, 5, 8, 6, 4, 2, 9, 10, 3, 1}",2.502510,"{1, 3, 10, 9, 2, 4, 6, 8, 5, 7, 1}",2.502510,0.000000,0.031815
"{1, 6, 8, 9, 4, 7, 10, 2, 5, 3, 1}",3.351107,"{1, 6, 8, 9, 4, 7, 10, 2, 5, 3, 1}",3.351107,0.000000,0.031911
"{1, 7, 8, 4, 2, 3, 6, 10, 5, 9, 1}",2.664115,"{1, 7, 8, 4, 2, 3, 6, 10, 5, 9, 1}",2.664115,0.000000,0.032000
"{1, 8, 5, 6, 4, 2, 7, 3, 10, 9, 1}",2.705687,"{1, 8, 5, 6, 4, 2, 7, 3, 10, 9, 1}",2.705687,0.000000,0.032104
"{1, 3, 7, 9, 4, 8, 6, 10, 5, 2, 1}",3.254731,"{1, 2, 5, 10, 6, 8, 4, 9, 7, 3, 1}",3.254731,0.000000,0.032146
"{1, 9, 6, 8, 2, 5, 4, 7, 3, 10, 1}",3.165019,"{1, 10, 3, 7, 4, 5, 2, 8, 6, 9, 1}",3.165018,0.000000,0.032182
"{1, 9, 2, 5, 7, 8, 4, 10, 3, 6, 1}",3.223143,"{1, 6, 3, 10, 4, 8, 7, 5, 2, 9, 1}",3.223143,0.000000,0.031985
"{1, 5, 3, 8, 6, 10, 2, 7, 4, 9, 1}",2.591431,"{1, 5, 3, 8, 6, 10, 2, 7, 4, 9, 1}",2.591431,0.000000,0.032187
"{1, 4, 8, 7, 5, 10, 2, 3, 9, 6, 1}",2.063746,"{1, 6, 9, 3, 2, 10, 5, 7, 8, 4, 1}",2.063746,0.000000,0.032604
"{1, 9, 8, 6, 4, 10, 3, 5, 7, 2, 1}",3.512320,"{1, 2, 7, 5, 3, 10, 4, 6, 8, 9, 1}",3.512320,0.000000,0.032212
"{1, 6, 2, 5, 8, 3, 7, 9, 4, 10, 1}",3.118837,"{1, 10, 4, 9, 7, 3, 8, 5, 2, 6, 1}",3.118837,0.000000,0.032032
