optimal_tour,optimal_tour_length,christofides_tour,christofides_tour_length,score,time
"{1, 8, 10, 9, 3, 2, 4, 6, 7, 5, 1}",2.997110,"{1, 5, 10, 9, 3, 4, 6, 7, 2, 8, 1}",3.513641,0.172343,0.000069
"{1, 8, 3, 4, 6, 10, 7, 9, 5, 2, 1}",2.673085,"{1, 8, 9, 7, 6, 4, 3, 10, 5, 2, 1}",3.459019,0.294018,0.000068
"{1, 3, 7, 2, 5, 6, 4, 10, 8, 9, 1}",2.460655,"{1, 9, 4, 5, 6, 2, 10, 8, 7, 3, 1}",2.771808,0.126451,0.000065
"{1, 7, 2, 10, 4, 9, 8, 6, 3, 5, 1}",2.737237,"{1, 7, 2, 10, 4, 8, 9, 5, 3, 6, 1}",2.943825,0.075473,0.000070
"{1, 5, 8, 4, 3, 10, 9, 2, 6, 7, 1}",2.986832,"{1, 8, 10, 3, 9, 2, 6, 7, 4, 5, 1}",3.502515,0.172652,0.000067
"{1, 10, 6, 3, 7, 5, 4, 8, 9, 2, 1}",3.221305,"{1, 10, 6, 3, 7, 5, 4, 8, 9, 2, 1}",3.221305,0.000000,0.000066
"{1, 7, 6, 10, 3, 9, 5, 8, 2, 4, 1}",2.239931,"{1, 7, 6, 10, 3, 9, 5, 8, 2, 4, 1}",2.239931,0.000000,0.000065
"{1, 9, 7, 6, 3, 8, 5, 10, 2, 4, 1}",3.254561,"{1, 9, 10, 7, 6, 3, 8, 5, 2, 4, 1}",3.598583,0.105705,0.000065
"{1, 10, 3, 8, 7, 2, 9, 6, 4, 5, 1}",2.246194,"{1, 3, 8, 7, 2, 9, 6, 5, 4, 10, 1}",2.521240,0.122450,0.000066
"{1, 5, 10, 9, 6, 3, 2, 4, 8, 7, 1}",2.305412,"{1, 7, 8, 4, 5, 10, 9, 6, 3, 2, 1}",2.448115,0.061899,0.000068
"{1, 6, 5, 10, 7, 8, 4, 3, 2, 9, 1}",3.042859,"{1, 2, 4, 5, 10, 7, 8, 3, 9, 6, 1}",3.496560,0.149104,0.000066
"{1, 10, 8, 2, 5, 9, 6, 7, 4, 3, 1}",2.761835,"{1, 10, 6, 7, 5, 9, 8, 2, 4, 3, 1}",3.259017,0.180019,0.000068
"{1, 5, 2, 10, 4, 6, 3, 8, 9, 7, 1}",3.298447,"{1, 5, 2, 10, 4, 6, 3, 7, 9, 8, 1}",3.503226,0.062083,0.000065
"{1, 2, 8, 7, 4, 6, 9, 10, 5, 3, 1}",3.179974,"{1, 3, 9, 6, 4, 2, 8, 7, 10, 5, 1}",4.248372,0.335977,0.000070
"{1, 4, 8, 3, 10, 9, 6, 2, 5, 7, 1}",2.891815,"{1, 2, 9, 10, 3, 8, 4, 6, 5, 7, 1}",3.751333,0.297224,0.000066
"{1, 8, 10, 3, 7, 5, 4, 6, 2, 9, 1}",2.813618,"{1, 8, 7, 5, 3, 10, 9, 2, 6, 4, 1}",3.162959,0.124161,0.000075
"{1, 7, 6, 10, 2, 5, 4, 3, 9, 8, 1}",3.384711,"{1, 7, 6, 2, 10, 5, 9, 3, 4, 8, 1}",3.728208,0.101485,0.000068
"{1, 8, 4, 2, 7, 3, 5, 6, 10, 9, 1}",2.548864,"{1, 8, 9, 3, 7, 2, 10, 5, 6, 4, 1}",2.993489,0.174440,0.000068
"{1, 4, 3, 8, 7, 2, 6, 5, 9, 10, 1}",3.325739,"{1, 10, 9, 5, 2, 7, 6, 8, 3, 4, 1}",3.421203,0.028705,0.000068
"{1, 2, 3, 5, 6, 8, 9, 4, 7, 10, 1}",2.464794,"{1, 3, 5, 6, 9, 4, 10, 7, 8, 2, 1}",2.994335,0.214842,0.000069
"{1, 10, 4, 6, 7, 9, 3, 8, 5, 2, 1}",3.057049,"{1, 6, 7, 2, 3, 5, 8, 9, 4, 10, 1}",3.408368,0.114921,0.000069
"{1, 8, 6, 9, 4, 3, 7, 5, 10, 2, 1}",2.997128,"{1, 10, 2, 3, 7, 5, 4, 9, 8, 6, 1}",3.520700,0.174691,0.000066
"{1, 9, 8, 6, 3, 5, 7, 4, 10, 2, 1}",3.520309,"{1, 6, 3, 5, 7, 2, 10, 4, 8, 9, 1}",3.531689,0.003233,0.000065
"{1, 2, 9, 3, 5, 7, 8, 6, 10, 4, 1}",2.362028,"{1, 4, 10, 8, 7, 6, 5, 3, 9, 2, 1}",2.448628,0.036663,0.000068
"{1, 10, 4, 3, 8, 7, 6, 2, 9, 5, 1}",3.031621,"{1, 4, 3, 5, 2, 9, 6, 7, 8, 10, 1}",3.531397,0.164854,0.000068
"{1, 6, 10, 3, 7, 2, 9, 8, 4, 5, 1}",2.635353,"{1, 5, 6, 10, 8, 9, 2, 7, 3, 4, 1}",2.886062,0.095133,0.000095
"{1, 9, 8, 10, 7, 5, 4, 3, 2, 6, 1}",2.351739,"{1, 9, 6, 8, 10, 7, 5, 4, 3, 2, 1}",2.528626,0.075216,0.000085
"{1, 7, 5, 8, 6, 4, 2, 9, 10, 3, 1}",2.502510,"{1, 7, 5, 4, 8, 6, 2, 9, 10, 3, 1}",2.666764,0.065635,0.000065
"{1, 6, 8, 9, 4, 7, 10, 2, 5, 3, 1}",3.351107,"{1, 8, 9, 7, 4, 6, 5, 10, 2, 3, 1}",4.031025,0.202894,0.000079
"{1, 7, 8, 4, 2, 3, 6, 10, 5, 9, 1}",2.664115,"{1, 9, 7, 8, 4, 2, 3, 6, 10, 5, 1}",2.681039,0.006352,0.000112
"{1, 8, 5, 6, 4, 2, 7, 3, 10, 9, 1}",2.705687,"{1, 9, 10, 4, 6, 3, 7, 2, 5, 8, 1}",3.106879,0.148278,0.000065
"{1, 3, 7, 9, 4, 8, 6, 10, 5, 2, 1}",3.254731,"{1, 3, 7, 9, 4, 8, 6, 10, 2, 5, 1}",3.668784,0.127216,0.000081
"{1, 9, 6, 8, 2, 5, 4, 7, 3, 10, 1}",3.165019,"{1, 9, 6, 8, 2, 5, 4, 7, 3, 10, 1}",3.165019,0.000000,0.000063
"{1, 9, 2, 5, 7, 8, 4, 10, 3, 6, 1}",3.223143,"{1, 9, 2, 5, 7, 8, 4, 10, 3, 6, 1}",3.223143,0.000000,0.000065
"{1, 5, 3, 8, 6, 10, 2, 7, 4, 9, 1}",2.591431,"{1, 9, 4, 10, 2, 7, 6, 8, 3, 5, 1}",2.721241,0.050092,0.000063
"{1, 4, 8, 7, 5, 10, 2, 3, 9, 6, 1}",2.063746,"{1, 8, 7, 10, 5, 2, 3, 9, 6, 4, 1}",2.169365,0.051178,0.000081
"{1, 9, 8, 6, 4, 10, 3, 5, 7, 2, 1}",3.512320,"{1, 9, 8, 6, 4, 10, 3, 5, 7, 2, 1}",3.512320,0.000000,0.000069
"{1, 6, 2, 5, 8, 3, 7, 9, 4, 10, 1}",3.118837,"{1, 6, 10, 4, 3, 7, 9, 8, 5, 2, 1}",3.331951,0.068331,0.000068
"{1, 7, 5, 2, 4, 6, 9, 10, 8, 3, 1}",3.238901,"{1, 7, 5, 6, 9, 10, 4, 2, 8, 3, 1}",3.958577,0.222198,0.000066
"{1, 2, 3, 8, 9, 10, 7, 6, 5, 4, 1}",2.729532,"{1, 5, 10, 7, 6, 9, 8, 3, 2, 4, 1}",2.843371,0.041706,0.000065
"{1, 8, 4, 3, 7, 2, 9, 5, 10, 6, 1}",2.722896,"{1, 5, 10, 7, 3, 4, 8, 2, 9, 6, 1}",3.210249,0.178984,0.000068
"{1, 3, 9, 8, 4, 7, 2, 10, 6, 5, 1}",3.405094,"{1, 5, 7, 2, 4, 9, 8, 10, 6, 3, 1}",3.845121,0.129226,0.000068
"{1, 3, 10, 7, 4, 2, 9, 6, 5, 8, 1}",3.169898,"{1, 8, 6, 9, 5, 10, 4, 2, 7, 3, 1}",3.976434,0.254436,0.000067
"{1, 5, 7, 6, 8, 9, 10, 2, 4, 3, 1}",2.845818,"{1, 5, 7, 8, 6, 9, 10, 2, 4, 3, 1}",3.063432,0.076468,0.000063
"{1, 2, 7, 8, 4, 9, 5, 3, 6, 10, 1}",2.491513,"{1, 10, 3, 5, 9, 4, 8, 6, 2, 7, 1}",2.738206,0.099013,0.000065
"{1, 5, 9, 3, 4, 2, 8, 10, 7, 6, 1}",2.791222,"{1, 6, 10, 7, 8, 2, 4, 3, 9, 5, 1}",2.812058,0.007465,0.000066
"{1, 5, 6, 4, 7, 9, 10, 2, 8, 3, 1}",2.609161,"{1, 5, 6, 4, 7, 9, 10, 2, 8, 3, 1}",2.609161,0.000000,0.000075
"{1, 9, 2, 5, 3, 7, 10, 6, 8, 4, 1}",2.839123,"{1, 4, 8, 6, 10, 7, 3, 5, 2, 9, 1}",2.839123,0.000000,0.000091
"{1, 4, 3, 2, 8, 10, 5, 6, 9, 7, 1}",3.141250,"{1, 9, 5, 10, 2, 8, 3, 4, 6, 7, 1}",3.570780,0.136739,0.000081
"{1, 5, 4, 6, 8, 2, 3, 7, 9, 10, 1}",4.166567,"{1, 10, 5, 4, 2, 9, 7, 3, 6, 8, 1}",5.446354,0.307156,0.000098
"{1, 4, 9, 6, 3, 8, 2, 7, 10, 5, 1}",3.315081,"{1, 5, 10, 7, 2, 8, 3, 6, 9, 4, 1}",3.315082,0.000000,0.000064
"{1, 5, 8, 9, 3, 4, 7, 10, 2, 6, 1}",2.885000,"{1, 5, 8, 9, 3, 4, 7, 2, 10, 6, 1}",2.921919,0.012797,0.000119
"{1, 3, 6, 2, 4, 10, 8, 7, 9, 5, 1}",2.563931,"{1, 7, 8, 10, 4, 2, 6, 3, 9, 5, 1}",2.785918,0.086581,0.000067
"{1, 9, 2, 8, 7, 3, 6, 5, 4, 10, 1}",2.932857,"{1, 10, 7, 8, 3, 6, 5, 4, 9, 2, 1}",3.502213,0.194130,0.000071
"{1, 3, 8, 4, 7, 6, 5, 9, 2, 10, 1}",3.128819,"{1, 8, 3, 10, 7, 6, 4, 9, 5, 2, 1}",3.922388,0.253632,0.000070
"{1, 6, 10, 3, 7, 5, 8, 9, 4, 2, 1}",2.329332,"{1, 6, 10, 3, 7, 5, 8, 9, 4, 2, 1}",2.329332,0.000000,0.000063
"{1, 5, 4, 3, 8, 2, 7, 6, 9, 10, 1}",2.624797,"{1, 5, 4, 3, 8, 9, 6, 7, 2, 10, 1}",2.777561,0.058200,0.000068
"{1, 9, 5, 3, 8, 4, 7, 2, 6, 10, 1}",2.840746,"{1, 9, 10, 6, 4, 7, 2, 8, 3, 5, 1}",3.467684,0.220695,0.000069
