optimal_tour,optimal_tour_length,nearest_neighbor_tour,nearest_neighbor_tour_length,score,time
"{1, 8, 10, 3, 7, 5, 4, 6, 2, 9, 1}",2.813618,"{1, 8, 4, 6, 2, 9, 5, 7, 3, 10, 1}",3.162475,0.123989,0.000018
"{1, 7, 6, 10, 2, 5, 4, 3, 9, 8, 1}",3.384711,"{1, 8, 5, 6, 10, 2, 7, 4, 3, 9, 1}",4.029994,0.190646,0.000018
"{1, 8, 4, 2, 7, 3, 5, 6, 10, 9, 1}",2.548864,"{1, 8, 4, 2, 6, 5, 10, 7, 3, 9, 1}",2.820551,0.106591,0.000018
"{1, 4, 3, 8, 7, 2, 6, 5, 9, 10, 1}",3.325739,"{1, 10, 9, 5, 6, 8, 3, 7, 2, 4, 1}",3.873769,0.164784,0.000018
"{1, 2, 3, 5, 6, 8, 9, 4, 7, 10, 1}",2.464794,"{1, 3, 5, 6, 9, 8, 2, 4, 10, 7, 1}",2.975941,0.207379,0.000018
"{1, 10, 4, 6, 7, 9, 3, 8, 5, 2, 1}",3.057049,"{1, 10, 6, 7, 2, 4, 9, 3, 8, 5, 1}",3.511601,0.148690,0.000018
"{1, 8, 6, 9, 4, 3, 7, 5, 10, 2, 1}",2.997128,"{1, 10, 9, 6, 8, 4, 5, 7, 3, 2, 1}",3.570857,0.191426,0.000018
"{1, 9, 8, 6, 3, 5, 7, 4, 10, 2, 1}",3.520309,"{1, 9, 8, 5, 4, 10, 2, 7, 3, 6, 1}",3.660370,0.039787,0.000018
"{1, 2, 9, 3, 5, 7, 8, 6, 10, 4, 1}",2.362028,"{1, 2, 9, 3, 5, 10, 7, 8, 6, 4, 1}",2.487268,0.053022,0.000018
"{1, 10, 4, 3, 8, 7, 6, 2, 9, 5, 1}",3.031621,"{1, 10, 3, 4, 8, 7, 6, 2, 9, 5, 1}",3.072386,0.013447,0.000018
"{1, 6, 10, 3, 7, 2, 9, 8, 4, 5, 1}",2.635353,"{1, 5, 6, 10, 8, 9, 2, 7, 3, 4, 1}",2.886062,0.095133,0.000018
"{1, 9, 8, 10, 7, 5, 4, 3, 2, 6, 1}",2.351739,"{1, 9, 6, 2, 3, 4, 5, 7, 10, 8, 1}",2.354933,0.001358,0.000018
"{1, 7, 5, 8, 6, 4, 2, 9, 10, 3, 1}",2.502510,"{1, 7, 5, 4, 6, 8, 2, 9, 10, 3, 1}",2.680356,0.071067,0.000018
"{1, 6, 8, 9, 4, 7, 10, 2, 5, 3, 1}",3.351107,"{1, 3, 5, 2, 10, 6, 8, 4, 7, 9, 1}",3.916885,0.168833,0.000018
"{1, 7, 8, 4, 2, 3, 6, 10, 5, 9, 1}",2.664115,"{1, 9, 7, 8, 4, 3, 6, 10, 5, 2, 1}",3.378699,0.268225,0.000018
"{1, 8, 5, 6, 4, 2, 7, 3, 10, 9, 1}",2.705687,"{1, 9, 10, 4, 6, 2, 7, 3, 5, 8, 1}",3.131775,0.157479,0.000018
"{1, 3, 7, 9, 4, 8, 6, 10, 5, 2, 1}",3.254731,"{1, 3, 7, 9, 4, 2, 5, 10, 6, 8, 1}",3.732131,0.146679,0.000018
"{1, 9, 6, 8, 2, 5, 4, 7, 3, 10, 1}",3.165019,"{1, 10, 3, 7, 4, 5, 2, 8, 6, 9, 1}",3.165018,0.000000,0.000018
"{1, 9, 2, 5, 7, 8, 4, 10, 3, 6, 1}",3.223143,"{1, 3, 6, 9, 2, 5, 7, 8, 4, 10, 1}",3.312254,0.027647,0.000018
"{1, 5, 3, 8, 6, 10, 2, 7, 4, 9, 1}",2.591431,"{1, 5, 3, 8, 6, 10, 2, 7, 4, 9, 1}",2.591431,0.000000,0.000018
"{1, 4, 8, 7, 5, 10, 2, 3, 9, 6, 1}",2.063746,"{1, 4, 8, 7, 10, 5, 2, 3, 9, 6, 1}",2.126713,0.030511,0.000018
